Course ID,Day,Hour,Coach,Student Count,Students,Levels
1,"Montag",10,"Kein Trainer",0,"",""
2,"Montag",11,"Kein Trainer",0,"",""
3,"Montag",12,"Kein Trainer",0,"",""
4,"Montag",13,"Kein Trainer",0,"",""
5,"Montag",14,"Kein Trainer",1,"Unknown","Unknown"
6,"Montag",15,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
7,"Montag",16,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
8,"Montag",17,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
9,"Montag",18,"Kein Trainer",1,"Unknown","Unknown"
10,"Montag",19,"Kein Trainer",1,"Unknown","Unknown"
11,"Montag",20,"Kein Trainer",0,"",""
12,"Montag",21,"Kein Trainer",0,"",""
13,"Dienstag",10,"Kein Trainer",0,"",""
14,"Dienstag",11,"Kein Trainer",0,"",""
15,"Dienstag",12,"Kein Trainer",0,"",""
16,"Dienstag",13,"Kein Trainer",0,"",""
17,"Dienstag",14,"Kein Trainer",1,"Unknown","Unknown"
18,"Dienstag",15,"Kein Trainer",3,"Unknown; Unknown; Unknown","Unknown; Unknown; Unknown"
19,"Dienstag",16,"Kein Trainer",1,"Unknown","Unknown"
20,"Dienstag",17,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
21,"Dienstag",18,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
22,"Dienstag",19,"Kein Trainer",0,"",""
23,"Dienstag",20,"Kein Trainer",0,"",""
24,"Dienstag",21,"Kein Trainer",0,"",""
25,"Mittwoch",10,"Kein Trainer",0,"",""
26,"Mittwoch",11,"Kein Trainer",0,"",""
27,"Mittwoch",12,"Kein Trainer",0,"",""
28,"Mittwoch",13,"Kein Trainer",0,"",""
29,"Mittwoch",14,"Kein Trainer",0,"",""
30,"Mittwoch",15,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
31,"Mittwoch",16,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
32,"Mittwoch",17,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
33,"Mittwoch",18,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
34,"Mittwoch",19,"Kein Trainer",0,"",""
35,"Mittwoch",20,"Kein Trainer",0,"",""
36,"Mittwoch",21,"Kein Trainer",0,"",""
37,"Donnerstag",10,"Kein Trainer",0,"",""
38,"Donnerstag",11,"Kein Trainer",0,"",""
39,"Donnerstag",12,"Kein Trainer",0,"",""
40,"Donnerstag",13,"Kein Trainer",0,"",""
41,"Donnerstag",14,"Kein Trainer",1,"Unknown","Unknown"
42,"Donnerstag",15,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
43,"Donnerstag",16,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
44,"Donnerstag",17,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
45,"Donnerstag",18,"Kein Trainer",3,"Unknown; Unknown; Unknown","Unknown; Unknown; Unknown"
46,"Donnerstag",19,"Kein Trainer",1,"Unknown","Unknown"
47,"Donnerstag",20,"Kein Trainer",1,"Unknown","Unknown"
48,"Donnerstag",21,"Kein Trainer",0,"",""
49,"Freitag",10,"Kein Trainer",0,"",""
50,"Freitag",11,"Kein Trainer",0,"",""
51,"Freitag",12,"Kein Trainer",0,"",""
52,"Freitag",13,"Kein Trainer",0,"",""
53,"Freitag",14,"Kein Trainer",0,"",""
54,"Freitag",15,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
55,"Freitag",16,"Kein Trainer",1,"Unknown","Unknown"
56,"Freitag",17,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
57,"Freitag",18,"Kein Trainer",3,"Unknown; Unknown; Unknown","Unknown; Unknown; Unknown"
58,"Freitag",19,"Kein Trainer",2,"Unknown; Unknown","Unknown; Unknown"
59,"Freitag",20,"Kein Trainer",0,"",""
60,"Freitag",21,"Kein Trainer",0,"",""
61,"Samstag",10,"Kein Trainer",0,"",""
62,"Samstag",11,"Kein Trainer",0,"",""
63,"Samstag",12,"Kein Trainer",1,"Unknown","Unknown"
64,"Samstag",13,"Kein Trainer",1,"Unknown","Unknown"
65,"Samstag",14,"Kein Trainer",1,"Unknown","Unknown"
66,"Samstag",15,"Kein Trainer",1,"Unknown","Unknown"
67,"Samstag",16,"Kein Trainer",1,"Unknown","Unknown"
68,"Samstag",17,"Kein Trainer",0,"",""
69,"Samstag",18,"Kein Trainer",0,"",""
70,"Samstag",19,"Kein Trainer",0,"",""
71,"Samstag",20,"Kein Trainer",0,"",""
72,"Samstag",21,"Kein Trainer",0,"",""
